ENODEB_NAME,Latitude,Longitude
RAN_Dennisfield_Atlas_KZN,-29.6499,30.3298
RAN_Windy_Heights_Primary_MTN_KZN,-29.9967,30.8994
RAN_Springlees_Farm_MTN_KZN,-29.422357,31.275823
RAN_Kings_Park_South2_KZN,-29.825541,31.030009
RAN_Nguni_KZN,-29.5877777777778,31.1727222222222
RAN_Eshowe_Central_KZN,-28.8951388888889,31.4674722222222
RAN_Cliffdale_2_ATC_KZN,-29.76175,30.66818
LTE_Melmoth_Central_DN_KZN,-28.5916111111111,31.3966944444444
RAN_Embonini_JP_MTN_KZN,-29.9667,30.8586
RAN_Ballito_West_KZN,-29.523399,31.195865
LTE_Donkerhoek_Telkom_DN_KZN,-27.7353888888889,31.1394444444444
RAN_Emthetheweni_Snr_Pri_MTN_KZN,-29.9722,30.8844
RAN_Khambi_Cnc_Telkom_KZN,-27.7785,31.3135
RAN_77_Nagina_Dr_MTN_KZN,-29.8736666666667,30.8100277777778
LTE_Tevrede_Farm_DN_KZN,-27.9763888888889,32.3413888888889
LTE_Intaba_Ingwe_DN_KZN,-28.6352444444444,31.760475
RAN_Kwangqoloti_KZN,-28.7881972222222,31.8294277777778
LTE_Phondweni_DN_KZN,-28.2694444444444,32.19
RAN_Belverdere_ATC_KZN,-29.5811138888889,31.0830361111111
RAN_Malabuzela_KZN,-28.018,32.1847777777778
LTE_Ndamkane_DN_KZN,-27.184778,31.9799442
LTE_Essiena_DN_KZN,-29.198999,31.2719173
RAN_Enembe_Mission_KZN,-29.091388,31.3544445
LTE_Nkungwini_DN_KZN,-27.014686,32.0118064
LTE_Middle_Drift_DN_KZN,-28.881111,31.0558338
LTE_Muhlekazi_DN_KZN,-27.7056944444444,32.1640277777778
RAN_Endulinde_KZN,-29.0505,31.4413051
RAN_Cyprian_KZN,-29.022943,31.4008064
RAN_Nwabi_KZN,-29.921,30.8115
RAN_Musa_Rd_KZN,-29.741894,30.993239
LTE_Lourdes_DN_KZN,-30.243,29.7630555555556
RAN_Glengarry_KZN,-30.4025277777778,29.6545833333333
RAN_Salt_R_Exch_MTN_KZN,-29.497026,31.238559
LTE_Vumanhlamvu_DN_KZN,-28.662776,31.10111
RAN_Mhlanga_Prim_Atlas_KZN,-28.921473,31.840666
LTE_New_Hanover_Town_DN_KZN,-29.3523055555556,30.5288888888889
LTE_Nokweja_DN_KZN,-30.2857222222222,29.9983611111111
RAN_KwaMakhutha_Dect_KZN,-30.0315555555556,30.8494444444444
RAN_Ntolozo_and_Musa_CP1_KZN,-29.739621,31.001917
LTE_Dlabe_DN_KZN,-28.700306,31.073056
LTE_Trafalgar_DN_KZN,-30.9661111111111,30.2873611111111
RAN_Ashburton_GtFmMTN_KZN,-29.65863,30.453808
LTE_Phelandaba_Clinic_DN_KZN,-27.0843333333333,32.5650555555556
LTE_Kwankumende_DN_KZN,-27.0542222222222,32.7638333333333
LTE_Vuka_DN_KZN,-28.577694,31.051167
LTE_Mvelabashu_Telkom_DN_KZN,-27.1380833333333,32.7273055555556
RAN_Sebokwe_Village_KZN,-28.7416388888889,32.1453888888889
RAN_Bantabahle_Rd_KZN,-29.749502,30.999716
RAN_Zimbali_Workshop_ATC_KZN,-29.543265,31.195051
RAN_N2_Umh_SANRAL_KZN,-29.737995,31.06927
RAN_Pongola_SgMil_KZN,-27.3981388888889,31.6530833333333
RAN_Fair_Brze_WT_MTN_KZN,-29.546667,31.1413879
LTE_Ematimatolo_MTN_DN_KZN,-29.142806,30.855417
RAN_KSIA_ATC_Hub_MTN_KZN,-29.60681,31.113443
